name	A549_WT_01dex_A	A549_WT_01dex_B	A549_WT_0dex_A	A549_WT_0dex_B	A549_WT_100dex_A	A549_WT_100dex_B	U20S_WT_01dex_A	U20S_WT_01dex_B	U20S_WT_0dex_A	U20S_WT_0dex_B	U20S_WT_100dex_A	U20S_WT_100dex_B	length
1	A1BG	56	219	135	257	141	196	7	9	14	18	12	9	6695
2	A1CF	6	12	8	9	15	7	0	2	2	1	0	8	86268
3	A2M	0	0	0	0	0	0	19	13	2	4	20	31	48523
4	A2ML1	0	0	0	0	0	0	0	1	0	0	0	2	31781
5	A3GALT2	152	453	165	386	314	387	82	158	60	166	32	108	14334
6	A4GALT	111	301	136	324	277	364	15	20	9	28	8	18	28800
7	A4GNT	0	0	0	0	0	0	0	1	0	0	0	0	8671
8	AAAS	151	355	201	377	208	283	213	257	113	230	93	246	14174
9	AACS	406	1251	432	1210	601	863	716	1055	433	1070	291	898	77968
10	AADAC	159	359	123	335	222	231	1	0	1	0	2	0	14417
11	AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	23854
12	AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	12646
13	AADACL4	0	0	0	2	0	0	0	1	0	1	2	5	22541
14	AADAT	81	256	101	264	154	174	161	241	106	254	73	199	29812
15	AAED1	75	209	68	224	124	140	65	104	41	118	27	66	14068
16	AAGAB	274	985	331	946	441	544	459	589	293	718	177	509	54063
17	AAK1	509	1556	556	1658	703	818	985	1107	576	1418	313	914	185852
18	AAMDC	30	101	35	119	54	70	55	69	46	139	17	53	51240
19	AAMP	142	275	224	329	220	256	235	276	171	258	101	270	6082
20	AANAT	1	1	0	0	8	5	0	1	1	0	0	0	2571
21	AAR2	135	472	130	435	218	301	339	463	186	464	154	459	20526
22	AARD	0	0	0	1	1	1	36	46	17	33	8	32	5777
23	AARS	338	1222	399	1264	599	770	628	858	409	969	307	781	37117
24	AARS2	152	412	131	453	233	268	630	677	311	640	239	577	14602
25	AARSD1	179	411	212	461	259	379	180	245	116	277	93	239	13974
26	AASDH	131	351	177	328	188	270	227	321	151	351	143	353	38550
27	AASDHPPT	87	244	57	231	115	125	177	241	82	256	81	257	21129
28	AASS	8	23	14	15	24	19	274	330	104	257	184	496	70748
29	AATF	0	0	0	0	0	0	0	0	0	0	0	0	107998
30	AATK	14	35	13	55	28	45	28	30	19	34	9	22	14655
31	ABAT	40	77	58	72	57	65	86	84	74	110	40	102	63861
32	ABCA1	2348	5605	2380	5299	3048	3151	174	208	124	168	85	120	147246
33	ABCA10	195	557	166	481	236	279	66	50	26	70	19	56	96810
34	ABCA12	17	61	22	76	26	37	1	3	1	2	1	1	100546
35	ABCA13	4	11	1	9	6	4	869	887	326	778	362	902	476037
36	ABCA2	59	163	66	154	76	103	66	95	83	132	36	81	21056
37	ABCA3	203	579	245	613	288	373	66	72	70	103	33	100	64870
38	ABCA4	55	108	63	110	56	55	272	319	97	236	128	337	128314
39	ABCA5	98	285	87	321	116	136	41	52	22	56	16	50	71200
40	ABCA6	16	43	15	50	21	25	1	3	0	3	4	1	63170
41	ABCA7	129	467	173	434	489	581	96	89	62	115	112	268	25471
42	ABCA8	16	32	14	44	28	26	32	22	7	10	26	82	88107
43	ABCA9	37	35	31	51	21	32	0	2	1	4	0	1	86365
44	ABCB1	4	10	2	10	8	3	60	103	49	106	28	121	97027
45	ABCB10	156	518	192	556	278	387	170	213	141	275	70	223	42115
46	ABCB11	3	6	2	8	7	1	21	13	1	4	11	23	108386
47	ABCB4	3	4	1	4	6	0	53	46	32	64	27	82	73660
48	ABCB5	0	0	0	0	0	0	2	2	0	1	1	5	13053
49	ABCB6	158	438	277	457	179	283	103	140	75	162	42	98	9253
50	ABCB7	121	405	115	387	162	238	495	527	202	528	171	556	103062
51	ABCB8	417	1321	476	1269	609	699	280	457	275	545	152	429	19362
52	ABCB9	101	375	129	401	215	233	208	229	116	199	79	184	37519
53	ABCC1	4	28	7	17	10	13	5	8	3	4	2	7	193499
54	ABCC10	215	550	209	586	339	349	390	502	285	630	199	450	18676
55	ABCC11	9	24	7	22	33	19	8	10	1	16	1	11	65362
56	ABCC12	5	23	15	15	8	13	2	6	7	3	1	4	63799
57	ABCC2	2127	6188	1958	6131	3007	3584	94	134	39	119	59	78	69596
58	ABCC3	2447	6346	2491	6141	3623	3432	770	744	392	681	198	419	33072
59	ABCC4	1115	3596	1063	3254	2584	3417	1086	1510	472	1376	568	1613	205677
60	ABCC5	103	271	124	294	182	241	214	246	141	288	99	234	34210
61	ABCC6	0	0	0	0	0	0	0	0	0	0	0	0	2286
62	ABCC8	64	190	81	182	203	237	77	108	40	76	154	344	83962
63	ABCC9	1	2	0	1	2	0	20	20	4	13	18	42	131522
64	ABCD1	57	185	67	179	112	128	78	92	67	97	34	108	19896
65	ABCD2	2	8	1	5	1	8	38	56	13	18	45	131	68823
66	ABCD3	96	282	78	259	156	151	186	276	104	351	137	428	60329
67	ABCD4	277	753	355	754	511	525	293	322	249	437	108	310	17789
68	ABCE1	146	443	100	334	223	210	409	497	150	519	194	504	31522
69	ABCF1	0	0	0	0	0	0	0	0	0	0	0	0	20141
70	ABCF2	179	531	203	514	306	345	168	222	96	248	92	244	15892
71	ABCF3	58	149	52	132	93	70	158	140	81	204	64	142	7934
72	ABCG1	447	974	410	918	773	992	150	178	99	181	54	114	77348
73	ABCG2	40	140	60	139	69	73	8	15	5	16	6	19	68597
74	ABCG4	2	12	5	9	6	7	11	15	5	17	6	13	13079
75	ABCG5	0	1	0	0	1	0	0	0	0	1	1	4	26349
76	ABCG8	0	0	0	0	0	1	0	0	0	0	0	0	39504
77	ABHD1	2	15	7	10	5	12	0	2	3	3	1	0	7025
78	ABHD10	52	170	43	173	83	97	186	155	70	214	41	135	14494
79	ABHD11	49	149	83	172	86	139	76	118	77	169	40	142	2775
80	ABHD12	860	2565	848	2258	3369	3790	1262	1804	560	1424	908	2486	90786
81	ABHD12B	0	0	0	1	0	0	0	0	0	0	0	0	32812
82	ABHD13	37	111	34	122	66	64	126	128	42	160	44	123	15842
83	ABHD14A	11	27	13	24	13	17	15	17	18	18	3	12	6176
84	ABHD14A-ACY1	102	315	137	342	178	234	207	325	127	325	83	216	14178
85	ABHD14B	87	288	167	262	131	180	129	163	139	233	52	194	6122
86	ABHD15	201	449	224	559	318	334	65	71	65	130	31	76	6365
87	ABHD16A	0	0	0	0	0	0	0	0	0	0	0	0	16126
88	ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	1777
89	ABHD17A	37	95	44	104	65	62	53	83	48	90	32	61	8545
90	ABHD17B	259	875	300	776	459	502	363	386	174	395	150	412	46095
91	ABHD17C	376	1010	371	954	447	493	186	195	103	249	86	209	60312
92	ABHD18	106	320	103	278	145	169	116	122	58	180	31	113	74457
93	ABHD2	815	2345	667	1945	2185	2601	1492	1629	525	1245	662	1670	114212
94	ABHD3	76	149	81	146	113	87	24	35	26	38	7	27	13319
95	ABHD4	357	966	309	909	475	631	227	341	120	417	91	398	14123
96	ABHD5	39	152	64	152	100	110	149	199	62	184	57	178	31857
97	ABHD6	98	299	97	282	157	172	202	216	133	246	145	281	57236
98	ABHD8	38	120	56	154	77	90	53	55	43	82	17	33	11344
99	ABI1	318	1080	374	1098	460	608	592	815	375	1009	170	604	114493
100	ABI2	131	352	109	376	178	209	317	403	208	571	84	266	65291
101	ABI3	1	0	0	0	0	1	58	42	30	55	13	37	13000
102	ABI3BP	15	24	8	13	31	12	21	27	2	26	9	33	244157
103	ABL1	648	1489	669	1419	871	932	600	851	351	896	207	654	52422
104	ABL2	240	612	236	593	291	331	813	990	415	1465	139	537	32510
105	ABLIM1	695	1704	653	1649	617	688	1844	2512	988	2848	834	2491	95818
106	ABLIM2	62	164	72	154	104	137	32	17	17	19	8	22	64997
107	ABLIM3	691	1294	633	1256	1236	846	498	507	119	239	315	793	118994
108	ABO	0	1	0	3	1	1	1	0	0	0	0	0	20040
109	ABRA	0	1	0	0	0	0	0	0	1	2	0	1	10763
110	ABRACL	77	203	81	186	121	115	32	39	20	61	21	36	14622
111	ABRAXAS1	72	217	66	211	121	118	171	233	99	236	70	210	24200
112	ABRAXAS2	149	439	118	401	217	273	264	333	139	342	117	332	34887
113	ABT1	36	134	33	95	66	78	85	71	39	98	26	77	3109
114	ABTB1	120	353	143	324	187	206	71	113	64	109	28	95	7990
115	ABTB2	2025	5110	1900	4640	4255	4384	346	427	177	434	94	285	207023
116	ACAA1	145	579	201	524	262	350	178	258	118	211	89	266	14534
117	ACAA2	111	310	187	339	166	181	150	150	86	180	45	143	30379
118	ACACA	0	0	0	0	0	0	1	0	0	2	2	2	214777
119	ACACB	580	1501	589	1540	991	1447	139	160	73	210	67	155	128831
120	ACAD10	199	578	262	595	344	423	216	247	133	250	112	288	71056
121	ACAD11	165	389	164	435	260	274	278	278	129	333	124	282	101995
122	ACAD8	50	131	56	144	54	101	65	61	56	109	45	72	12317
123	ACAD9	197	652	221	612	338	383	478	565	227	601	190	571	33626
124	ACADL	1	1	1	6	0	1	77	104	28	62	20	73	37503
125	ACADM	79	254	91	257	148	184	226	232	162	334	84	195	39334
126	ACADS	79	214	83	201	106	121	53	54	42	74	42	78	14272
127	ACADSB	68	187	63	203	97	128	85	104	37	122	41	84	49379
128	ACADVL	244	708	269	833	317	423	145	192	162	307	81	178	5438
129	ACAN	4	6	0	13	6	1	106	93	36	57	53	92	71913
130	ACAP1	105	295	134	353	155	189	141	172	150	275	44	128	14947
131	ACAP2	171	530	193	636	310	373	410	621	290	801	146	530	168354
132	ACAP3	144	451	230	522	266	275	172	212	192	379	49	159	15507
133	ACAT1	61	175	61	175	115	131	198	231	93	266	60	245	26639
134	ACAT2	183	455	171	478	241	247	196	210	124	379	82	237	16578
135	ACBD3	349	929	385	927	496	618	484	532	278	590	211	485	42045
136	ACBD4	76	296	109	316	161	185	58	60	42	80	22	54	8536
137	ACBD5	261	917	345	989	436	591	171	232	129	288	86	277	45667
138	ACBD6	647	2069	609	1852	1028	1159	1139	1242	505	1387	473	1426	214672
139	ACBD7	31	87	39	88	72	56	75	130	47	115	33	145	13303
140	ACCS	166	440	139	387	250	300	75	119	44	83	43	124	17759
141	ACCSL	0	0	0	0	0	0	0	0	0	0	1	0	11998
142	ACD	97	214	127	243	126	197	95	155	106	144	37	147	3305
143	ACE	2	18	7	13	2	10	7	15	6	0	8	45	13565
144	ACE2	0	0	0	2	1	0	1	1	2	1	0	1	41038
145	ACER1	1	5	2	2	2	1	2	4	1	4	3	2	27132
146	ACER2	28	119	19	120	47	71	65	74	31	80	72	158	43577
147	ACER3	281	768	258	770	454	496	393	560	204	635	120	472	165926
148	ACHE	3	6	1	5	1	6	17	23	12	42	7	15	5257
149	ACIN1	419	1278	523	1311	686	873	480	652	320	695	222	619	13008
150	ACKR1	0	0	1	1	0	0	7	19	7	19	1	6	1243
151	ACKR2	2	10	2	8	7	9	36	31	15	28	13	25	57813
152	ACKR3	15	16	6	13	16	17	270	277	141	379	89	162	12619
153	ACKR4	0	0	0	0	0	0	0	0	0	0	0	0	2509
154	ACLY	2079	5724	2644	6100	3322	4277	1073	1508	843	2103	382	1220	52095
155	ACMSD	3	3	2	10	10	4	1	3	0	0	1	1	63420
156	ACO1	786	1945	729	1866	742	979	281	327	155	526	117	240	66235
157	ACO2	320	1025	289	976	531	690	953	1226	587	1277	423	1106	59866
158	ACOD1	0	0	0	0	4	0	1	0	1	0	0	1	10085
159	ACOT1	2	22	2	30	9	10	6	8	3	11	5	7	6572
160	ACOT11	71	173	57	162	96	102	178	209	110	199	150	317	62200
161	ACOT12	3	8	4	9	6	10	19	25	8	16	10	21	64043
162	ACOT13	82	208	79	241	112	114	34	31	29	47	13	41	38036
163	ACOT2	7	31	8	51	10	17	32	23	11	41	8	32	6601
164	ACOT4	0	3	1	2	1	1	7	9	3	16	1	6	4062
165	ACOT6	1	1	2	1	2	1	0	0	0	0	0	1	3046
166	ACOT7	453	1278	462	1212	969	1243	416	556	286	700	212	519	94674
167	ACOT8	221	444	185	448	289	294	196	285	160	261	104	273	15690
168	ACOT9	201	543	208	589	297	368	225	259	87	264	73	226	39629
169	ACOX1	285	702	280	772	508	577	295	371	213	492	124	305	37929
170	ACOX2	4	30	11	33	12	12	7	2	3	4	4	6	32068
171	ACOX3	422	1080	547	1075	833	786	657	821	462	899	297	716	74445
172	ACOXL	24	50	29	80	35	42	45	76	16	56	16	73	385651
173	ACP1	64	195	55	180	87	132	90	141	59	147	50	140	7614
174	ACP2	252	419	309	492	231	290	303	232	195	272	148	296	9328
175	ACP4	1	1	0	0	0	0	0	0	0	1	0	0	4811
176	ACP5	0	1	1	1	3	1	0	0	0	0	0	0	3083
177	ACP6	167	421	204	455	254	291	75	84	72	99	38	125	23148
178	ACP7	43	94	40	112	74	82	20	20	8	25	9	22	27186
179	ACPP	4	9	1	5	3	1	1	1	1	1	2	0	41481
180	ACR	0	5	0	3	2	1	3	1	0	2	0	2	7077
181	ACRBP	72	212	111	254	149	176	101	114	80	140	56	126	9340
182	ACRV1	0	1	0	1	0	0	2	1	0	3	1	0	8566
183	ACSBG1	6	7	4	11	4	3	27	39	37	38	13	26	63864
184	ACSBG2	0	2	0	1	0	2	0	2	0	2	0	2	57472
185	ACSF2	262	621	253	700	313	381	253	232	182	317	71	162	48689
186	ACSF3	868	2329	845	2205	1243	1602	2030	2899	1292	2858	1021	3069	62039
187	ACSL1	225	583	169	375	1074	1140	87	99	50	110	90	216	50195
188	ACSL3	914	3225	775	2787	1610	1999	1721	2541	602	2055	592	1736	83719
189	ACSL4	1865	3969	1578	3730	2624	2692	244	329	180	554	93	230	92059
190	ACSL5	24	61	17	53	55	77	4	10	3	10	2	8	52184
191	ACSL6	1	5	2	4	0	5	7	7	2	5	3	6	61691
192	ACSM1	0	0	0	0	0	0	1	2	1	2	2	1	68021
193	ACSM2A	0	2	0	1	3	3	0	0	0	0	0	0	36210
194	ACSM2B	0	1	1	0	0	0	0	0	0	1	0	0	39617
195	ACSM3	6	43	9	48	9	11	4	9	1	4	5	9	22328
196	ACSM4	0	1	0	0	0	0	0	0	0	0	0	0	24043
197	ACSM5	0	0	0	1	2	0	0	0	0	0	0	0	10243
198	ACSM6	6	29	7	32	4	14	29	34	23	41	19	37	34731
199	ACSS1	76	227	93	215	215	250	11	13	4	3	1	2	26478
200	ACSS2	157	534	183	577	214	279	93	151	81	259	50	80	51443
201	ACSS3	1	6	4	3	4	4	108	124	47	130	45	127	178743
202	ACTA1	35	118	56	131	67	90	75	81	60	138	28	73	2853
203	ACTA2	2	30	10	40	14	20	4	1	4	1	3	3	17805
204	ACTB	428	1323	941	1715	1118	1046	724	1736	839	1732	487	1527	3565
205	ACTBL2	6	2	7	8	3	5	63	54	12	29	10	34	2795
206	ACTC1	3	5	6	6	3	3	4	25	11	32	2	11	7632
207	ACTG1	829	1842	1621	2305	1656	1616	619	689	398	883	286	589	2897
208	ACTG2	0	1	0	0	0	0	1	1	0	1	0	0	26689
209	ACTL10	2	0	0	1	1	1	3	1	3	3	2	4	2029
210	ACTL6A	55	188	58	176	88	95	283	319	123	343	102	304	25527
211	ACTL6B	0	1	0	0	0	0	0	1	0	0	0	0	13366
212	ACTL7A	0	0	0	0	0	0	0	0	0	0	0	0	1529
213	ACTL7B	1	3	0	6	1	1	1	2	0	1	2	3	1409
214	ACTL8	8	3	12	7	9	8	15	14	3	4	29	70	71752
215	ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	1435
216	ACTN1	2333	6256	2514	6093	3949	4390	2965	3653	2532	5802	823	2241	105245
217	ACTN2	2	3	2	1	1	0	101	114	63	147	43	110	78179
218	ACTN3	1	7	1	9	5	3	3	3	0	5	1	4	16490
219	ACTN4	5347	14547	5884	14724	6047	7535	2432	2719	2032	3916	663	1744	82918
220	ACTR10	89	340	86	300	165	164	314	352	143	399	112	339	35523
221	ACTR1A	287	861	297	806	478	573	358	392	232	543	147	335	23528
222	ACTR1B	139	385	189	433	243	310	477	583	303	612	222	476	8161
223	ACTR2	267	715	254	626	413	438	388	403	183	571	124	336	43560
224	ACTR3	323	787	330	851	456	440	939	929	458	1321	241	815	70958
225	ACTR3B	62	173	59	165	82	105	51	54	27	94	26	52	95632
226	ACTR5	115	297	87	274	167	198	251	301	165	388	111	311	23994
227	ACTR6	49	192	51	193	102	104	65	87	39	105	31	78	24339
228	ACTR8	242	526	284	593	398	415	494	473	258	566	177	469	15138
229	ACTRT1	0	0	0	0	0	0	0	0	0	0	1	0	1443
