chrom	start	end	A549_WT_01dex_A	A549_WT_01dex_B	A549_WT_0dex_A	A549_WT_0dex_B	A549_WT_100dex_A	A549_WT_100dex_B	U20S_WT_01dex_A	U20S_WT_01dex_B	U20S_WT_0dex_A	U20S_WT_0dex_B	U20S_WT_100dex_A	U20S_WT_100dex_B
1	chr1	778550	778950	21	63	17	55	37	45	16	12	10	13	5	45
2	chr1	904150	905000	11	38	20	24	9	24	44	44	21	43	6	65
3	chr1	905020	905550	1	6	6	7	3	4	34	35	20	29	11	31
4	chr1	975970	976780	14	50	25	65	9	19	25	33	19	20	9	31
5	chr1	1001780	1002200	26	40	31	65	36	18	36	11	12	21	8	17
6	chr1	1059530	1059790	15	44	30	70	22	17	6	10	6	8	4	11
7	chr1	1069120	1069520	10	37	25	47	25	31	5	10	7	10	1	15
8	chr1	1079440	1080080	56	168	84	206	83	126	34	65	50	62	34	69
9	chr1	1157190	1157820	13	59	26	59	30	50	0	0	0	2	0	0
10	chr1	1157980	1158570	11	58	22	53	30	20	1	2	2	2	0	1
11	chr1	1164920	1165140	1	5	7	10	4	10	0	0	0	0	0	0
12	chr1	1201140	1201750	2	5	0	4	0	3	11	9	10	18	1	9
13	chr1	1207820	1208470	2	2	1	4	4	5	11	3	7	6	8	19
14	chr1	1208860	1209160	0	2	0	2	3	1	2	13	8	7	4	10
15	chr1	1291930	1292370	11	28	13	44	18	23	20	16	19	22	3	17
16	chr1	1304680	1305150	12	56	34	62	31	28	10	19	11	22	4	15
17	chr1	1438030	1438320	7	23	5	31	10	12	0	0	1	0	0	1
18	chr1	1664970	1666140	31	92	43	98	48	67	24	34	23	45	18	29
19	chr1	1908800	1909440	41	91	42	134	55	97	27	45	39	60	13	70
20	chr1	2199320	2199650	21	60	23	66	32	40	17	16	9	24	5	20
21	chr1	2231710	2232130	5	16	12	16	7	9	4	7	6	13	4	17
22	chr1	2234140	2234760	13	31	21	34	23	39	6	5	4	9	5	6
23	chr1	2290330	2291250	6	16	4	17	7	10	84	71	56	77	31	75
24	chr1	2330560	2331290	2	10	5	2	5	3	28	49	14	39	16	46
25	chr1	3192660	3193410	0	0	4	0	1	2	69	31	30	28	20	41
26	chr1	3312930	3314130	2	10	5	10	9	7	51	63	56	101	24	54
27	chr1	3504230	3504720	7	47	18	49	16	15	0	1	0	0	0	2
28	chr1	3531220	3531660	18	73	24	85	48	29	10	18	11	31	4	15
29	chr1	3542690	3543820	24	68	39	66	17	37	1	8	4	7	1	8
30	chr1	3747090	3747640	5	47	26	71	44	37	2	18	4	19	5	23
31	chr1	3942790	3943020	0	0	3	5	5	4	0	0	0	0	0	0
32	chr1	3975830	3976730	0	0	0	0	2	1	169	165	55	146	75	144
33	chr1	4267340	4268200	20	61	12	59	19	28	0	0	0	0	0	0
34	chr1	4302940	4303440	0	0	0	0	0	0	17	13	2	3	9	17
35	chr1	4650490	4650930	3	5	5	6	1	5	14	2	10	6	6	7
36	chr1	6600580	6601710	75	167	74	184	75	117	33	44	17	42	39	127
37	chr1	6724420	6725320	0	0	0	2	1	0	37	22	6	16	11	28
